Time_UTC,COV,SAM
2015-12-01 00:00:00,-4.484,-3.228
2015-12-01 06:00:00,-7.110,-5.844
2015-12-01 12:00:00,-0.679,-0.205
2015-12-01 18:00:00,-3.808,-3.094
2015-12-02 00:00:00,-6.034,-5.155
2015-12-02 06:00:00,-6.318,-5.708
2015-12-02 12:00:00,-1.484,-1.293
2015-12-02 18:00:00,-5.458,-5.438
2015-12-03 00:00:00,-10.606,-10.455
2015-12-03 06:00:00,-9.505,-9.329
2015-12-03 12:00:00,-2.540,-2.446
2015-12-03 18:00:00,-5.363,-5.177
2015-12-04 00:00:00,-6.589,-6.569
2015-12-04 06:00:00,-8.203,-7.927
2015-12-04 12:00:00,-1.101,-0.708
2015-12-04 18:00:00,-2.337,-1.856
2015-12-05 00:00:00,-2.155,-1.713
2015-12-05 06:00:00,-1.692,-1.629
2015-12-05 12:00:00,0.321,0.240
2015-12-05 18:00:00,-0.853,-0.746
2015-12-06 00:00:00,-2.804,-2.832
2015-12-06 06:00:00,-3.546,-3.391
2015-12-06 12:00:00,-0.666,-0.676
2015-12-06 18:00:00,-2.190,-2.245
2015-12-07 00:00:00,-5.333,-5.303
2015-12-07 06:00:00,-4.504,-4.617
2015-12-07 12:00:00,0.695,0.645
2015-12-07 18:00:00,-1.506,-1.480
2015-12-08 00:00:00,-3.099,-2.870
2015-12-08 06:00:00,-4.431,-4.342
2015-12-08 12:00:00,-0.166,-0.225
2015-12-08 18:00:00,-3.434,-3.315
2015-12-09 00:00:00,-5.649,-5.292
2015-12-09 06:00:00,-5.282,-4.633
2015-12-09 12:00:00,0.305,0.675
2015-12-09 18:00:00,-3.019,-2.510
2015-12-10 00:00:00,-3.520,-3.012
2015-12-10 06:00:00,-5.290,-4.854
2015-12-10 12:00:00,-2.275,-2.140
2015-12-10 18:00:00,-4.623,-4.526
2015-12-11 00:00:00,-8.693,-8.739
2015-12-11 06:00:00,-9.153,-8.894
2015-12-11 12:00:00,-1.520,-1.056
2015-12-11 18:00:00,-3.906,-3.271
2015-12-12 00:00:00,-8.504,-7.918
2015-12-12 06:00:00,-7.944,-7.274
2015-12-12 12:00:00,-0.750,-0.365
2015-12-12 18:00:00,-4.434,-4.004
2015-12-13 00:00:00,-5.854,-5.149
2015-12-13 06:00:00,-6.887,-6.943
2015-12-13 12:00:00,-0.773,-0.494
2015-12-13 18:00:00,-2.498,-2.419
2015-12-14 00:00:00,-4.779,-4.453
2015-12-14 06:00:00,-4.225,-4.149
2015-12-14 12:00:00,0.732,0.676
2015-12-14 18:00:00,-1.975,-1.518
2015-12-15 00:00:00,-5.532,-4.987
2015-12-15 06:00:00,-6.351,-5.833
2015-12-15 12:00:00,-0.684,-0.515
2015-12-15 18:00:00,-2.000,-1.644
2015-12-16 00:00:00,-5.059,-4.819
2015-12-16 06:00:00,-4.078,-3.656
2015-12-16 12:00:00,-0.534,-0.362
2015-12-16 18:00:00,-3.634,-3.253
2015-12-17 00:00:00,-3.535,-2.953
2015-12-17 06:00:00,-3.863,-3.366
2015-12-17 12:00:00,0.038,0.295
2015-12-17 18:00:00,-4.038,-3.950
2015-12-18 00:00:00,-6.838,-6.466
2015-12-18 06:00:00,-6.944,-6.472
2015-12-18 12:00:00,-0.011,0.170
2015-12-18 18:00:00,-4.141,-3.895
2015-12-19 00:00:00,-6.509,-6.096
2015-12-19 06:00:00,-5.745,-5.265
2015-12-19 12:00:00,-0.057,-0.015
2015-12-19 18:00:00,-3.162,-2.978
2015-12-20 00:00:00,-4.419,-3.996
2015-12-20 06:00:00,-3.102,-2.680
2015-12-20 12:00:00,-0.061,-0.146
2015-12-20 18:00:00,-2.229,-2.247
2015-12-21 00:00:00,-2.125,-2.117
2015-12-21 06:00:00,-3.142,-2.884
2015-12-21 12:00:00,1.342,1.582
2015-12-21 18:00:00,-3.143,-2.956
2015-12-22 00:00:00,-6.834,-6.691
2015-12-22 06:00:00,-6.575,-6.521
2015-12-22 12:00:00,-0.468,-0.392
2015-12-22 18:00:00,-3.630,-3.607
2015-12-23 00:00:00,-4.024,-4.003
2015-12-23 06:00:00,-4.055,-3.972
2015-12-23 12:00:00,-0.178,0.027
2015-12-23 18:00:00,-2.881,-2.821
2015-12-24 00:00:00,-4.315,-4.256
2015-12-24 06:00:00,-1.953,-1.895
2015-12-24 12:00:00,0.655,0.687
2015-12-24 18:00:00,-3.002,-3.073
2015-12-25 00:00:00,-7.060,-6.892
2015-12-25 06:00:00,-7.054,-6.876
2015-12-25 12:00:00,-0.209,-0.023
2015-12-25 18:00:00,-4.610,-4.475
2015-12-26 00:00:00,-8.245,-8.110
2015-12-26 06:00:00,-7.637,-7.350
2015-12-26 12:00:00,-0.861,-0.609
2015-12-26 18:00:00,-5.019,-4.806
2015-12-27 00:00:00,-8.773,-8.511
2015-12-27 06:00:00,-9.880,-9.544
2015-12-27 12:00:00,-1.779,-1.488
2015-12-27 18:00:00,-4.966,-4.737
2015-12-28 00:00:00,-7.501,-7.100
2015-12-28 06:00:00,-7.320,-6.874
2015-12-28 12:00:00,-0.855,-0.552
2015-12-28 18:00:00,-3.762,-3.459
2015-12-29 00:00:00,-7.053,-6.637
2015-12-29 06:00:00,-7.030,-6.385
2015-12-29 12:00:00,0.547,0.913
2015-12-29 18:00:00,-4.062,-3.410
2015-12-30 00:00:00,-3.554,-2.646
2015-12-30 06:00:00,-3.541,-2.912
2015-12-30 12:00:00,0.614,0.499
2015-12-30 18:00:00,0.956,0.993
2015-12-31 00:00:00,-0.372,-0.552
2015-12-31 06:00:00,-2.966,-2.598
2015-12-31 12:00:00,-0.016,0.175
2015-12-31 18:00:00,-0.429,0.020
